id	paths	pheno
702	/usr/share/kmer_pipeline/example/702.velvet_assembly.contigs.fa.gz	-4.06
725	/usr/share/kmer_pipeline/example/725.velvet_assembly.contigs.fa.gz	3
791	/usr/share/kmer_pipeline/example/791.velvet_assembly.contigs.fa.gz	-4.06
932	/usr/share/kmer_pipeline/example/932.velvet_assembly.contigs.fa.gz	-4.06
10084	/usr/share/kmer_pipeline/example/10084.velvet_assembly.contigs.fa.gz	3
10536	/usr/share/kmer_pipeline/example/10536.velvet_assembly.contigs.fa.gz	-3.06
11785	/usr/share/kmer_pipeline/example/11785.velvet_assembly.contigs.fa.gz	3
11805	/usr/share/kmer_pipeline/example/11805.velvet_assembly.contigs.fa.gz	3
11897	/usr/share/kmer_pipeline/example/11897.velvet_assembly.contigs.fa.gz	3
12202	/usr/share/kmer_pipeline/example/12202.velvet_assembly.contigs.fa.gz	-4.06
12387	/usr/share/kmer_pipeline/example/12387.velvet_assembly.contigs.fa.gz	-4.06
12656	/usr/share/kmer_pipeline/example/12656.velvet_assembly.contigs.fa.gz	-4.06
12875	/usr/share/kmer_pipeline/example/12875.velvet_assembly.contigs.fa.gz	3
13924	/usr/share/kmer_pipeline/example/13924.velvet_assembly.contigs.fa.gz	3
15096	/usr/share/kmer_pipeline/example/15096.velvet_assembly.contigs.fa.gz	-4.06
15142	/usr/share/kmer_pipeline/example/15142.velvet_assembly.contigs.fa.gz	-4.06
15212	/usr/share/kmer_pipeline/example/15212.velvet_assembly.contigs.fa.gz	-4.06
15494	/usr/share/kmer_pipeline/example/15494.velvet_assembly.contigs.fa.gz	-4.06
15510	/usr/share/kmer_pipeline/example/15510.velvet_assembly.contigs.fa.gz	-3.06
15526	/usr/share/kmer_pipeline/example/15526.velvet_assembly.contigs.fa.gz	4
15564	/usr/share/kmer_pipeline/example/15564.velvet_assembly.contigs.fa.gz	4
15584	/usr/share/kmer_pipeline/example/15584.velvet_assembly.contigs.fa.gz	-5.06
16241	/usr/share/kmer_pipeline/example/16241.velvet_assembly.contigs.fa.gz	4
16277	/usr/share/kmer_pipeline/example/16277.velvet_assembly.contigs.fa.gz	4
25758	/usr/share/kmer_pipeline/example/25758.velvet_assembly.contigs.fa.gz	-4.06
26122	/usr/share/kmer_pipeline/example/26122.velvet_assembly.contigs.fa.gz	3
26224	/usr/share/kmer_pipeline/example/26224.velvet_assembly.contigs.fa.gz	-4.06
26546	/usr/share/kmer_pipeline/example/26546.velvet_assembly.contigs.fa.gz	-4.06
30223	/usr/share/kmer_pipeline/example/30223.velvet_assembly.contigs.fa.gz	4
30737	/usr/share/kmer_pipeline/example/30737.velvet_assembly.contigs.fa.gz	4
